OF072522,Cage 1,526462,Batch 2,Phase 1,1,9:53:48 AM,300,736.67,217.81,168.28,1065,1000,72.98,37,227.02,38,28.58,85.64,3,7.84,31,65,523,10,16,3.33,3,4,6.96,14.56,7.61,On,On
OF072522,Cage 1,526462,Batch 2,Phase 1,2,9:58:48 AM,300,809.78,180.34,194.63,825,788,76.9,41,223.1,42,28.16,57.18,3,8.66,20,37,209,12,23,6.8,4,3,7.81,17.73,10.86,On,On
OF072522,Cage 1,526462,Batch 2,Phase 1,3,10:03:48 AM,300,595.96,130.49,145.73,732,684,105.11,58,194.89,59,23.14,58.23,3,8.85,26,48,254,10,26,7.37,2,2,7.35,19.08,9.85,On,On
OF072522,Cage 1,526462,Batch 2,Phase 1,4,10:08:48 AM,300,432.93,80.96,141.61,538,467,140.26,64,159.74,65,15.8,43.45,2,17.25,32,71,198,8,12,3.02,2,0,6.44,18.55,9.15,On,On
